rel	query_id	entity	lm	drrm	q_len	q_idf_db	q_idf_t
0	SemSearch_LS-1	William_Anders	6.640165803598087e-14	0.762112	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Johnny_Apollo_(toy)	4.4884892502768056e-14	0.013832	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Van_Serg_(crater)	1.7658326035593643e-14	0.061037	4	25.801806757770223	28.818257773944435
2	SemSearch_LS-1	Alan_Shepard	1.5499086536337224e-11	0.030385	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	List_of_human_spaceflights,_1971–80	8.321127706792594e-15	0.009394	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Luna_15	2.933990742180253e-14	0.274756	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Charles_Duke	2.0909816934832776e-11	0.217035	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Farouk_El-Baz	6.788517351127976e-15	0.027955	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Floating_(The_Moody_Blues_song)	7.26373844863152e-15	0.012445	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Clifton_Williams	1.2662364960862509e-14	0.011965	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Astronaut_training	1.3647189916333913e-12	0.010629	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Judith_Resnik	4.151403660423874e-15	0.036702	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Lunar_Landing_Research_Facility	2.6000445290228116e-14	0.022944	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	List_of_astronauts_by_first_flight	8.433913999876452e-13	0.018141	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Pete_Conrad	1.9315040374302934e-11	0.024802	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Constellation_program	7.40811936111731e-15	0.418612	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Deke_Slayton	2.0155236801262952e-14	0.015502	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Bill_Kaysing	1.2640761023215753e-14	0.141851	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	ILC_Dover	1.3734223832071644e-12	0.006718	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Ice_(Johnson_novel)	1.268030001125338e-14	0.044242	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Hess-Apollo_(crater)	6.765890442678724e-14	0.082126	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Bowen-Apollo_(crater)	5.2587860138638e-14	0.052895	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	List_of_Apollo_astronauts	1.4590777207566623e-08	0.190655	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Saturn_(rocket_family)	1.2130709405259507e-14	0.099196	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Wally_Schirra	2.4495566178237025e-14	0.009385	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Apollo_Lunar_Surface_Experiments_Package	1.5699533671034578e-14	0.005003	4	25.801806757770223	28.818257773944435
2	SemSearch_LS-1	Michael_Collins_(astronaut)	8.328138839436011e-14	0.016979	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Boot_Hill_(lunar_mountain)	4.266198276264832e-14	0.172619	4	25.801806757770223	28.818257773944435
2	SemSearch_LS-1	Alan_Bean	2.5223364093739915e-11	0.011006	4	25.801806757770223	28.818257773944435
2	SemSearch_LS-1	James_Irwin	1.9327851004103355e-11	0.047363	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Stuart_Roosa	9.844218446377937e-14	2.718426	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Moontrap	2.2616764711968376e-15	0.026776	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Apollo_13	1.4922246391031934e-13	0.019771	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Moonwalk_One	4.632359408254383e-15	0.029528	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	List_of_fictional_astronauts	9.296557603071253e-14	0.120286	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Cochise_(crater)	7.879115179207201e-15	0.061462	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Magnificent_Desolation:_Walking_on_the_Moon_3D	1.1488241580193772e-14	0.182433	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Apollo_Lunar_Module	6.025307407252724e-14	0.010909	4	25.801806757770223	28.818257773944435
0	SemSearch_LS-1	Honeysuckle_Creek_Tracking_Station	1.2574897655980966e-14	0.032855	4	25.801806757770223	28.818257773944435
