rel	query_id	entity	cc_sum	cc_avg
0	SemSearch_LS-1	E11478	18	0.9
0	SemSearch_LS-1	E10970	3	0.15
0	SemSearch_LS-1	E754	2	0.1
2	SemSearch_LS-1	E963	15	0.75
0	SemSearch_LS-1	E12064	1	0.05
0	SemSearch_LS-1	E5817	10	0.5
0	SemSearch_LS-1	E8900	16	0.8
0	SemSearch_LS-1	E14972	5	0.25
0	SemSearch_LS-1	E10385	2	0.1
0	SemSearch_LS-1	E4264	9	0.45
0	SemSearch_LS-1	E2185	1	0.05
0	SemSearch_LS-1	E8770	14	0.7
0	SemSearch_LS-1	E3464	6	0.3
0	SemSearch_LS-1	E10369	1	0.05
0	SemSearch_LS-1	E14725	14	0.7
0	SemSearch_LS-1	E1394	2	0.1
0	SemSearch_LS-1	E3630	12	0.6
0	SemSearch_LS-1	E5960	6	0.3
0	SemSearch_LS-1	E8260	1	0.05
0	SemSearch_LS-1	E5391	4	0.2
0	SemSearch_LS-1	E6053	2	0.1
0	SemSearch_LS-1	E13814	2	0.1
0	SemSearch_LS-1	E13557	3	0.15
0	SemSearch_LS-1	E6332	1	0.05
0	SemSearch_LS-1	E7610	15	0.75
0	SemSearch_LS-1	E427	2	0.1
2	SemSearch_LS-1	E5364	18	0.9
0	SemSearch_LS-1	E5883	4	0.2
2	SemSearch_LS-1	E8465	14	0.7
2	SemSearch_LS-1	E4657	16	0.8
0	SemSearch_LS-1	E8817	13	0.65
0	SemSearch_LS-1	E14022	7	0.35
0	SemSearch_LS-1	E12680	14	0.7
0	SemSearch_LS-1	E14548	3	0.15
0	SemSearch_LS-1	E5746	1	0.05
0	SemSearch_LS-1	E1780	2	0.1
0	SemSearch_LS-1	E12563	4	0.2
0	SemSearch_LS-1	E9779	11	0.55
0	SemSearch_LS-1	E12620	1	0.05
0	SemSearch_LS-1	E14577	1	0.05
0	SemSearch_LS-1	E12070	2	0.1
0	SemSearch_LS-1	E12440	13	0.65
0	SemSearch_LS-1	E15245	2	0.1
0	SemSearch_LS-1	E4769	1	0.05
0	SemSearch_LS-1	E6187	2	0.1
0	SemSearch_LS-1	E8914	2	0.1
0	SemSearch_LS-1	E14781	6	0.3
0	SemSearch_LS-1	E11119	3	0.15
0	SemSearch_LS-1	E8532	17	0.85
0	SemSearch_LS-1	E11179	1	0.05
0	SemSearch_LS-1	E970	17	0.85
0	SemSearch_LS-1	E1918	11	0.55
0	SemSearch_LS-1	E4781	17	0.85
0	SemSearch_LS-1	E11208	6	0.3
0	SemSearch_LS-1	E13134	1	0.05
0	SemSearch_LS-1	E13982	1	0.05
0	SemSearch_LS-1	E8033	12	0.6
0	SemSearch_LS-1	E8515	10	0.5
0	SemSearch_LS-1	E7684	2	0.1
2	SemSearch_LS-1	E13766	23	1.15
0	SemSearch_LS-1	E13443	1	0.05
0	SemSearch_LS-1	E11276	5	0.25
0	SemSearch_LS-1	E10568	1	0.05
0	SemSearch_LS-1	E9279	1	0.05
0	SemSearch_LS-1	E11095	1	0.05
0	SemSearch_LS-1	E10654	1	0.05
0	SemSearch_LS-1	E329	13	0.65
0	SemSearch_LS-1	E5316	1	0.05
0	SemSearch_LS-1	E7952	3	0.15
0	SemSearch_LS-1	E2708	15	0.75
0	SemSearch_LS-1	E15119	1	0.05
0	SemSearch_LS-1	E891	3	0.15
0	SemSearch_LS-1	E9078	3	0.15
0	SemSearch_LS-1	E8797	8	0.4
0	SemSearch_LS-1	E8782	1	0.05
0	SemSearch_LS-1	E9746	1	0.05
0	SemSearch_LS-1	E708	1	0.05
0	SemSearch_LS-1	E11804	3	0.15
0	SemSearch_LS-1	E11067	2	0.1
0	SemSearch_LS-1	E15262	2	0.1
2	SemSearch_LS-1	E12326	12	0.6
0	SemSearch_LS-1	E15034	6	0.3
0	SemSearch_LS-1	E7639	16	0.8
0	SemSearch_LS-1	E11602	1	0.05
0	SemSearch_LS-1	E976	2	0.1
0	SemSearch_LS-1	E3115	2	0.1
0	SemSearch_LS-1	E13114	2	0.1
0	SemSearch_LS-1	E11003	2	0.1
0	SemSearch_LS-1	E7377	7	0.35
0	SemSearch_LS-1	E9505	13	0.65
0	SemSearch_LS-1	E487	1	0.05
