rel	query_id	entity	inlink	outlink	pg_count
0	SemSearch_LS-1	William_Anders	148	105	42843
0	SemSearch_LS-1	Johnny_Apollo_(toy)	23	2	794
0	SemSearch_LS-1	Van_Serg_(crater)	13	7	967
2	SemSearch_LS-1	Alan_Shepard	297	304	443885
0	SemSearch_LS-1	List_of_human_spaceflights,_1971–80	125	5	1256
0	SemSearch_LS-1	Luna_15	27	27	18755
0	SemSearch_LS-1	Charles_Duke	160	84	56676
0	SemSearch_LS-1	Farouk_El-Baz	95	48	22830
0	SemSearch_LS-1	Floating_(The_Moody_Blues_song)	33	15	1185
0	SemSearch_LS-1	Clifton_Williams	96	33	13293
0	SemSearch_LS-1	Astronaut_training	124	2	28205
0	SemSearch_LS-1	Judith_Resnik	77	78	102763
0	SemSearch_LS-1	Lunar_Landing_Research_Facility	14	5	2579
0	SemSearch_LS-1	List_of_astronauts_by_first_flight	872	0	6056
0	SemSearch_LS-1	Pete_Conrad	180	164	180836
0	SemSearch_LS-1	Constellation_program	122	161	93483
0	SemSearch_LS-1	Deke_Slayton	227	142	180834
0	SemSearch_LS-1	Bill_Kaysing	84	10	12674
0	SemSearch_LS-1	ILC_Dover	84	25	9737
0	SemSearch_LS-1	Ice_(Johnson_novel)	62	11	1902
0	SemSearch_LS-1	Hess-Apollo_(crater)	14	4	266
0	SemSearch_LS-1	Bowen-Apollo_(crater)	13	3	309
0	SemSearch_LS-1	List_of_Apollo_astronauts	129	86	249301
0	SemSearch_LS-1	Saturn_(rocket_family)	138	104	43656
0	SemSearch_LS-1	Wally_Schirra	244	196	132426
0	SemSearch_LS-1	Apollo_Lunar_Surface_Experiments_Package	126	55	20369
2	SemSearch_LS-1	Michael_Collins_(astronaut)	259	167	231322
0	SemSearch_LS-1	Boot_Hill_(lunar_mountain)	14	4	374
2	SemSearch_LS-1	Alan_Bean	134	118	57832
2	SemSearch_LS-1	James_Irwin	147	98	98575
0	SemSearch_LS-1	Stuart_Roosa	120	56	24554
0	SemSearch_LS-1	Moontrap	41	20	15908
0	SemSearch_LS-1	Apollo_13	199	344	855380
0	SemSearch_LS-1	Moonwalk_One	50	8	3299
0	SemSearch_LS-1	List_of_fictional_astronauts	989	4	25721
0	SemSearch_LS-1	Cochise_(crater)	16	6	516
0	SemSearch_LS-1	Magnificent_Desolation:_Walking_on_the_Moon_3D	66	32	18249
0	SemSearch_LS-1	Apollo_Lunar_Module	139	449	176038
0	SemSearch_LS-1	Honeysuckle_Creek_Tracking_Station	29	26	8775
0	SemSearch_LS-1	NASA_Astronaut_Group_4	28	19	10887
0	SemSearch_LS-1	Horatio_(crater)	12	6	393
0	SemSearch_LS-1	Rusty_Schweickart	126	78	22676
0	SemSearch_LS-1	Little_West_Crater	9	1	464
0	SemSearch_LS-1	Apollo_insurance_covers	7	2	29816
0	SemSearch_LS-1	Fallen_Astronaut	54	38	142635
0	SemSearch_LS-1	South_Ray_(crater)	18	6	761
0	SemSearch_LS-1	Apollo_13_(film)	237	350	372669
0	SemSearch_LS-1	NASA_Astronaut_Group_2	56	33	24145
0	SemSearch_LS-1	David_Scott	173	132	69413
0	SemSearch_LS-1	Outline_of_space_exploration	163	10	5628
0	SemSearch_LS-1	Eugene_Cernan	171	195	136292
0	SemSearch_LS-1	Lunar_Roving_Vehicle	124	80	89998
0	SemSearch_LS-1	John_Young_(astronaut)	173	161	112031
0	SemSearch_LS-1	Gerald_D._Griffin	29	19	5158
0	SemSearch_LS-1	List_of_astronauts_educated_at_the_United_States_Naval_Academy	151	3	4760
0	SemSearch_LS-1	Space_Exploration_Initiative	46	17	11650
0	SemSearch_LS-1	Saturn_V	275	423	453151
0	SemSearch_LS-1	Walter_Cunningham	98	58	23848
0	SemSearch_LS-1	Shorty_(crater)	17	12	1676
2	SemSearch_LS-1	Buzz_Aldrin	257	570	567639
0	SemSearch_LS-1	List_of_spacewalkers	521	4	5840
0	SemSearch_LS-1	Beyond_the_Stars	23	14	7937
0	SemSearch_LS-1	Apollo_15_postage_stamp_incident	29	9	36187
0	SemSearch_LS-1	List_of_United_States_Marine_Corps_astronauts	103	5	5048
0	SemSearch_LS-1	List_of_human_spaceflights,_1961–70	113	6	2576
0	SemSearch_LS-1	NASA_Astronaut_Group_5	77	23	12031
0	SemSearch_LS-1	Chris_Hadfield	155	148	272269
0	SemSearch_LS-1	Lunar_Receiving_Laboratory	31	18	6355
0	SemSearch_LS-1	A_Funny_Thing_Happened_on_the_Way_to_the_Moon	46	4	11701
0	SemSearch_LS-1	Edgar_Mitchell	166	103	160464
0	SemSearch_LS-1	List_of_space_travelers_by_name	666	16	64815
0	SemSearch_LS-1	For_All_Mankind	53	30	18585
0	SemSearch_LS-1	Altair_(spacecraft)	57	43	22098
0	SemSearch_LS-1	Apollo_7	119	114	103519
0	SemSearch_LS-1	Mars_to_Stay	129	32	43411
0	SemSearch_LS-1	Lunar_basalt_70017	29	30	7571
0	SemSearch_LS-1	List_of_astronauts_by_name	916	18	105864
0	SemSearch_LS-1	Rieskrater_Museum	21	3	1978
0	SemSearch_LS-1	Spur_(lunar_crater)	18	2	518
0	SemSearch_LS-1	Mackin_(crater)	14	4	298
2	SemSearch_LS-1	Fred_Haise	135	88	93424
0	SemSearch_LS-1	Extravehicular_activity	143	752	66571
0	SemSearch_LS-1	Jim_Lovell	197	244	333364
0	SemSearch_LS-1	List_of_astronauts_educated_at_the_United_States_Military_Academy	63	3	2576
0	SemSearch_LS-1	Victory_(crater)	15	5	330
0	SemSearch_LS-1	Lunar_Flag_Assembly	52	22	42362
0	SemSearch_LS-1	Purdue_University_College_of_Engineering	70	13	8856
0	SemSearch_LS-1	United_States_Astronaut_Hall_of_Fame	82	95	12097
0	SemSearch_LS-1	William_R._Muehlberger	14	3	452
0	SemSearch_LS-1	Edward_Higgins_White	162	165	109007
0	SemSearch_LS-1	Apollo_PGNCS	36	14	10337
0	SemSearch_LS-1	Far_Ultraviolet_Camera/Spectrograph	42	10	3463
0	SemSearch_LS-1	Mobile_Quarantine_Facility	24	12	16737
0	SemSearch_LS-1	Lunarcy!	21	6	4405
0	SemSearch_LS-1	The_Astronaut_Monument	12	2	443
0	SemSearch_LS-1	Duke_Island_(lunar_mountain)	17	3	347
0	SemSearch_LS-1	Exploration_of_the_Moon	257	120	53519
0	SemSearch_LS-1	Harrison_Storms	46	10	6657
0	SemSearch_LS-1	Countdown_(1968_film)	46	23	16824
0	SemSearch_LS-1	Lara_(lunar_crater)	13	6	411
0	SemSearch_LS-2	Arab_cuisine_of_the_Persian_Gulf	69	12	6707
0	SemSearch_LS-2	JIMENA	29	9	2501
0	SemSearch_LS-2	Rugby_union_in_the_Arab_states_of_the_Persian_Gulf	23	12	1139
0	SemSearch_LS-2	Popular_Front_for_the_Liberation_of_Bahrain	28	18	1632
0	SemSearch_LS-2	Al_Khaleej_(newspaper)	17	15	6098
0	SemSearch_LS-2	Mu‘assel	79	22	25911
0	SemSearch_LS-2	Kumzari_language	28	19	6717
0	SemSearch_LS-2	Gulf_Centre_for_Strategic_Studies	4	1	893
0	SemSearch_LS-2	Iraq–United_Arab_Emirates_relations	17	4	658
0	SemSearch_LS-2	1993_Gulf_Club_Champions_Cup	12	2	565
0	SemSearch_LS-2	Al_Buhassan	8	0	330
0	SemSearch_LS-2	Seizure_of_Abu_Musa_and_the_Greater_and_Lesser_Tunbs	38	17	10498
0	SemSearch_LS-2	Iraqi_diaspora_in_Western_Asia	22	2	541
0	SemSearch_LS-2	Arabian_Gulf_rugby_union_team	42	90	6868
0	SemSearch_LS-2	United_States_foreign_policy_in_the_Middle_East	70	19	54384
0	SemSearch_LS-2	Hadhrami_Arabic	40	21	7787
0	SemSearch_LS-2	Eastern_Arabia	245	113	27702
0	SemSearch_LS-2	1983_Gulf_Club_Champions_Cup	9	3	709
0	SemSearch_LS-2	Piracy_in_the_Persian_Gulf	65	16	12684
0	SemSearch_LS-2	Dezghan	22	1	414
0	SemSearch_LS-2	Gazetteer_of_the_Persian_Gulf,_Oman_and_Central_Arabia	29	29	3881
0	SemSearch_LS-2	Persian_Arab	20	2	4705
0	SemSearch_LS-2	Al_Muhannadi	11	3	683
0	SemSearch_LS-2	Territorial_disputes_in_the_Persian_Gulf	72	16	14679
0	SemSearch_LS-2	Emirate_of_Ajman	45	17	43123
