rel	query_id	entity	cc_sum	cc_avg
0	SemSearch_LS-1	E11478	4	0.4
0	SemSearch_LS-1	E10970	1	0.1
0	SemSearch_LS-1	E754	0	0.0
2	SemSearch_LS-1	E963	4	0.4
0	SemSearch_LS-1	E12064	0	0.0
0	SemSearch_LS-1	E5817	3	0.3
0	SemSearch_LS-1	E8900	3	0.3
0	SemSearch_LS-1	E14972	1	0.1
0	SemSearch_LS-1	E10385	1	0.1
0	SemSearch_LS-1	E4264	3	0.3
0	SemSearch_LS-1	E2185	0	0.0
0	SemSearch_LS-1	E8770	3	0.3
0	SemSearch_LS-1	E3464	1	0.1
0	SemSearch_LS-1	E10369	0	0.0
0	SemSearch_LS-1	E14725	4	0.4
0	SemSearch_LS-1	E1394	1	0.1
0	SemSearch_LS-1	E3630	3	0.3
0	SemSearch_LS-1	E5960	1	0.1
0	SemSearch_LS-1	E8260	0	0.0
0	SemSearch_LS-1	E5391	3	0.3
0	SemSearch_LS-1	E6053	0	0.0
0	SemSearch_LS-1	E13814	0	0.0
0	SemSearch_LS-1	E13557	1	0.1
0	SemSearch_LS-1	E6332	0	0.0
0	SemSearch_LS-1	E7610	4	0.4
0	SemSearch_LS-1	E427	0	0.0
2	SemSearch_LS-1	E5364	4	0.4
0	SemSearch_LS-1	E5883	1	0.1
2	SemSearch_LS-1	E8465	3	0.3
2	SemSearch_LS-1	E4657	4	0.4
0	SemSearch_LS-1	E8817	4	0.4
0	SemSearch_LS-1	E14022	4	0.4
0	SemSearch_LS-1	E12680	4	0.4
0	SemSearch_LS-1	E14548	1	0.1
0	SemSearch_LS-1	E5746	0	0.0
0	SemSearch_LS-1	E1780	0	0.0
0	SemSearch_LS-1	E12563	2	0.2
0	SemSearch_LS-1	E9779	4	0.4
0	SemSearch_LS-1	E12620	0	0.0
0	SemSearch_LS-1	E14577	0	0.0
0	SemSearch_LS-1	E12070	0	0.0
0	SemSearch_LS-1	E12440	3	0.3
0	SemSearch_LS-1	E15245	0	0.0
0	SemSearch_LS-1	E4769	0	0.0
0	SemSearch_LS-1	E6187	1	0.1
